UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:19.188 automation.py[79] main -> Starts, Current Cursor Position: (998, 428)
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,228,538,590)[360x362]    Name:     Handle: 0x0(0)    Depth: 7    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,228,538,248)[360x20]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,248,192,290)[14x42]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (192,248,352,290)[160x42]    Name:     Handle: 0x0(0)    Depth: 8    TogglePattern.ToggleState: ToggleState.On    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (192,257,246,281)[54x24]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (246,248,304,290)[58x42]    Name: 本地录制    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (352,248,512,290)[160x42]    Name:     Handle: 0x0(0)    Depth: 8    TogglePattern.ToggleState: ToggleState.Off    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (352,257,406,281)[54x24]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (406,248,464,290)[58x42]    Name: 在线直播    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,290,538,320)[360x30]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
